date,avg-block-size,avg-confirmation-time,blocks-size,cost-per-transaction-percent,cost-per-transaction,difficulty,estimated-transaction-volume-usd,estimated-transaction-volume,hash-rate,market-cap,market-price,median-confirmation-time,mempool-count,mempool-growth,mempool-size,miners-revenue,n-transactions-excluding-popular,n-transactions-per-block,n-transactions-total,n-transactions,n-unique-addresses,output-volume,total-bitcoins,trade-volume,transaction-fees-usd,transaction-fees,transactions-per-second
2014-04-15,0.241621071428572,,17700.145907,4.31210255378519,31.461496133191,6119726089.12815,67377948.6612055,146588.5228901,59321.5806202576,5814154747.346154,459.64,6.43333333333333,,,,2905406.24490792,72809.0,400.049450549451,36853958.0,72809.0,156359.0,669588.742590232,12649366.346153846,15471146.8628,9674.244907924,16.49954518,
2014-04-16,0.271066333333333,,17744.199359,2.17637614891476,33.6379233383573,6119726089.12815,123565545.343466,236262.99300854,45327.7718585558,6617883987.234042,523.0,8.93333333333333,,,,2689251.05713165,68594.0,431.408805031447,36926901.0,68594.0,149841.0,808972.686487201,12653697.872340426,17021803.81,8876.05713165,14.2744465,
2014-04-17,0.223713349112426,,17787.130813,3.96022260032156,36.2438813878336,6978842649.59238,68331434.5976434,129836.08770382,60364.1060676353,6661624094.157468,526.29,7.0,,,,2706076.91605982,65190.0,385.739644970414,36995367.0,65190.0,131868.0,814063.297992066,12657706.006493507,16183543.8096,8840.6660598198,14.99553797,
2014-04-18,0.20556026875,,17824.879464,6.28093821738141,40.4164733741954,6978842649.59238,44139392.7969373,88597.73744869,54119.5433709834,6308120851.350365,498.2,9.38333333333333,,,,2772367.99110293,56996.0,356.225,37060438.0,56996.0,128648.0,781666.572317554,12661824.270072993,10007497.842,7357.99110293,12.16011272,
2014-04-19,0.193319125786164,,17857.786874,7.89068043253219,39.9141890265368,6978842649.59238,31411123.7576183,65153.43750932,56547.9844196814,6106322711.6690645,482.11,8.13333333333333,,,,2478551.39598085,53515.0,336.572327044025,37117369.0,53515.0,118692.0,460095.566680422,12665828.776978416,5372537.418,7737.64598085371,12.61314875,
2014-04-20,0.169593011235955,,17888.560246,7.61555621131927,51.1141398825924,6978842649.59238,38121047.5289589,75667.02566288,58976.4254683793,6383160680.796179,503.8,7.9,,,,2903129.8029116,49043.0,275.522471910112,37171002.0,49043.0,147204.0,419106.173383271,12670029.140127389,5182862.652,6279.802911602,10.86690665,
2014-04-21,0.190698409356725,,17918.921272,3.47002974340332,38.8624803163505,6978842649.59238,80798547.8439523,161100.90490081,61404.8665170773,6356738373.631579,501.54,7.15,,,,2803733.6424231,58110.0,339.824561403509,37220092.0,58110.0,121759.0,726993.259447819,12674439.47368421,2914052.7234,7648.142423103,12.47640246,
2014-04-22,0.288122519480519,,17951.680733,3.96085263883304,25.0855107210105,6978842649.59238,53052667.3970377,106450.23355078,53425.7030713554,6318685402.448979,498.38,8.55,,,,2101337.97656688,78042.0,506.766233766234,37279343.0,78042.0,162297.0,886317.347175514,12678448.979591837,4176593.8492,8141.9765668832,15.29422985,
2014-04-23,0.242034896969697,,17996.025812,4.13047202661976,27.9339849521982,6978842649.59238,70905664.8595681,145143.83210425,60711.0262174494,6195641396.894366,488.52,7.6,,,,2928738.65231322,73954.0,448.206060606061,37356674.0,73954.0,135242.0,680231.147109905,12682472.35915493,4121418.5208,9831.65231322361,14.56230652,
2014-04-24,0.279837377483444,,18036.404554,4.87719947649719,28.4305213240355,6978842649.59238,51385613.7587178,104444.42724185,50997.2620226574,6241608522.382692,491.99,9.28333333333333,,,,2506178.88523505,72694.0,481.417218543046,37431721.0,72694.0,135134.0,442259.666068283,12686454.038461538,2843648.0811,9329.6352350533,14.94749758,
2014-04-25,0.226678675824176,,18078.213714,4.13058209806482,34.5349208397003,6978842649.59238,75577342.2532206,150507.50224678,56894.9045694954,6372535308.660714,502.15,8.0,,,,3121784.16930471,72650.0,399.175824175824,37503461.0,72650.0,154706.0,557906.38545585,12690501.46103896,3993448.305,8454.16930470751,13.64442103,
2014-04-26,0.180042809815951,,18119.34266,6.42988821773245,38.8827986905069,6978842649.59238,34464788.04494,74417.0924900999,61751.7866668913,5879372055.566667,463.13,7.06666666666667,,,,2216047.34576806,52175.0,320.092024539877,37575834.0,52175.0,114923.0,338826.031629409,12694863.333333334,14983214.1791,4601.59576806,9.13901624,
