date,price
2014-04-15,17700.145907
2014-04-16,17744.199359
2014-04-17,17787.130813
2014-04-18,17824.879464
2014-04-19,17857.786874
2014-04-20,17888.560246
2014-04-21,17918.921272
2014-04-22,17951.680733
2014-04-23,17996.025812
2014-04-24,18036.404554
2014-04-25,18078.213714
2014-04-26,18119.34266
2014-04-27,18148.535084
2014-04-28,18180.712167
2014-04-29,18217.151153
2014-04-30,18255.643159
2014-05-01,18293.075357
2014-05-02,18326.707454
2014-05-03,18360.796395
2014-05-04,18389.697401
2014-05-05,18420.533538
2014-05-06,18457.413329
2014-05-07,18499.960942
2014-05-08,18539.021885
2014-05-09,18577.356829
2014-05-10,18614.303763
2014-05-11,18644.875945
2014-05-12,18678.100568
2014-05-13,18720.181929
2014-05-14,18757.736308
2014-05-15,18797.21037
2014-05-16,18839.231896
2014-05-17,18877.440701
2014-05-18,18910.240117
2014-05-19,18942.23741
2014-05-20,18982.468007
2014-05-21,19026.582427
2014-05-22,19068.0716
2014-05-23,19110.10875
2014-05-24,19151.591823
2014-05-25,19181.201977
2014-05-26,19216.617105
2014-05-27,19255.885109
2014-05-28,19296.456239
2014-05-29,19338.550494
2014-05-30,19376.567036
2014-05-31,19413.616502
2014-06-01,19444.068284
2014-06-02,19480.140124
2014-06-03,19518.678957
2014-06-04,19560.147989
2014-06-05,19597.728314
2014-06-06,19637.449163
2014-06-07,19675.218891
2014-06-08,19704.017462
2014-06-09,19735.0346
2014-06-10,19771.112888
2014-06-11,19811.248105
2014-06-12,19848.203455
2014-06-13,19887.478142
2014-06-14,19925.114813
2014-06-15,19956.522422
2014-06-16,19989.22844
2014-06-17,20030.070808
2014-06-18,20069.329778
2014-06-19,20106.491822
2014-06-20,20144.120238
2014-06-21,20177.711706
2014-06-22,20208.802265
2014-06-23,20240.84972
2014-06-24,20276.719735
2014-06-25,20314.334707
2014-06-26,20352.335686
2014-06-27,20387.727861
2014-06-28,20423.968822
2014-06-29,20456.672486
2014-06-30,20488.265103
2014-07-01,20530.930448
2014-07-02,20574.659818
2014-07-03,20614.369858
2014-07-04,20651.321228
2014-07-05,20684.353853
2014-07-06,20712.081951
2014-07-07,20745.361685
2014-07-08,20783.745615
2014-07-09,20826.554853
2014-07-10,20869.116525
2014-07-11,20906.272587
2014-07-12,20942.678551
2014-07-13,20973.579071
2014-07-14,21007.206882
2014-07-15,21043.004269
2014-07-16,21083.957375
2014-07-17,21121.696352
2014-07-18,21160.440316
2014-07-19,21198.827305
2014-07-20,21232.84925
2014-07-21,21266.021291
2014-07-22,21303.901116
2014-07-23,21342.70212
2014-07-24,21380.483451
2014-07-25,21418.819246
