date,price
2014-04-15,67377948.6612055
2014-04-16,123565545.343466
2014-04-17,68331434.5976434
2014-04-18,44139392.7969373
2014-04-19,31411123.7576183
2014-04-20,38121047.5289589
2014-04-21,80798547.8439523
2014-04-22,53052667.3970377
2014-04-23,70905664.8595681
2014-04-24,51385613.7587178
2014-04-25,75577342.2532206
2014-04-26,34464788.04494
2014-04-27,37055569.2245566
2014-04-28,53641615.4990172
2014-04-29,60780936.9861265
2014-04-30,39607937.1452621
2014-05-01,42193768.1478652
2014-05-02,47711118.3628041
2014-05-03,28797242.895007
2014-05-04,26489955.0564704
2014-05-05,35339125.3497538
2014-05-06,38075678.536938
2014-05-07,56580092.3253076
2014-05-08,43378112.4479435
2014-05-09,36974863.9856775
2014-05-10,25665577.6913793
2014-05-11,26386529.480672
2014-05-12,44263879.7203582
2014-05-13,37797226.239645
2014-05-14,57822343.5978949
2014-05-15,47037640.5694627
2014-05-16,33417716.937645
2014-05-17,25006216.0727361
2014-05-18,26349415.300663
2014-05-19,57202469.5138821
2014-05-20,71346674.6278021
2014-05-21,51208384.1343616
2014-05-22,58329636.5909688
2014-05-23,73534768.8409876
2014-05-24,176966615.654146
2014-05-25,83279403.1002615
2014-05-26,65562631.0415776
2014-05-27,104251120.879531
2014-05-28,58855895.5437036
2014-05-29,47106045.4374686
2014-05-30,74086890.8717894
2014-05-31,52258939.9438368
2014-06-01,71009428.3102904
2014-06-02,76403224.3867338
2014-06-03,74496615.4214015
2014-06-04,78766326.9733077
2014-06-05,71548818.3340835
2014-06-06,69799063.6904577
2014-06-07,40993120.4470621
2014-06-08,39217473.1187264
2014-06-09,59474225.2762974
2014-06-10,108092776.376803
2014-06-11,95817529.3322293
2014-06-12,532526895.661207
2014-06-13,64309203.8149249
2014-06-14,53112540.8886736
2014-06-15,34063836.8907338
2014-06-16,62982278.180436
2014-06-17,53293447.389672
2014-06-18,56348819.6524198
2014-06-19,53770869.4811373
2014-06-20,47161955.5406119
2014-06-21,35550625.6692528
2014-06-22,35527766.1432133
2014-06-23,94094872.6706531
2014-06-24,116200207.021199
2014-06-25,63293597.3712146
2014-06-26,64273603.162016
2014-06-27,53708388.2224629
2014-06-28,36665604.3648494
2014-06-29,36235179.7694965
2014-06-30,63072137.3695402
2014-07-01,105403469.241652
2014-07-02,72805612.1191667
2014-07-03,69016248.3448786
2014-07-04,46501912.397888
2014-07-05,32408672.7635461
2014-07-06,28064142.0042123
2014-07-07,62174232.086383
2014-07-08,46589854.7315617
2014-07-09,59815184.4173584
2014-07-10,62297355.6355444
2014-07-11,44232367.3543612
2014-07-12,37475896.1721359
2014-07-13,46536648.6135664
2014-07-14,45714175.1371882
2014-07-15,50431564.6611476
2014-07-16,70244051.5135347
2014-07-17,49305037.9546244
2014-07-18,57037211.6988071
2014-07-19,57422018.9273641
2014-07-20,27759630.2219082
2014-07-21,81450691.2296381
2014-07-22,55386365.9309468
2014-07-23,49345606.100239
2014-07-24,74748503.5239329
2014-07-25,46219939.8418827
2014-07-26,32689225.0875761
2014-07-27,36242558.524525
2014-07-28,56122676.7735054
2014-07-29,48017590.3208593
2014-07-30,60703524.2752692
2014-07-31,52634315.3110293
2014-08-01,109595405.172348
2014-08-02,45081480.9092979
2014-08-03,32919831.8134589
2014-08-04,69586681.4313251
2014-08-05,98340840.416348
2014-08-06,68336741.3519858
2014-08-07,56835947.5769342
2014-08-08,48448897.9905319
2014-08-09,59808828.947551
2014-08-10,40522211.8148469
2014-08-11,57307734.4788175
2014-08-12,69276611.8060764
2014-08-13,78272186.0128435
2014-08-14,87625194.1858891
2014-08-15,76202505.7923246
2014-08-16,48406543.9537011
2014-08-17,55693291.7949953
2014-08-18,100738559.178476
2014-08-19,59354731.2110874
