date,price
2014-04-15,146588.5228901
2014-04-16,236262.99300854
2014-04-17,129836.08770382
2014-04-18,88597.73744869
2014-04-19,65153.43750932
2014-04-20,75667.02566288
2014-04-21,161100.90490081
2014-04-22,106450.23355078
2014-04-23,145143.83210425
2014-04-24,104444.42724185
2014-04-25,150507.50224678
2014-04-26,74417.0924900999
2014-04-27,80297.23763664
2014-04-28,122246.161119
2014-04-29,137376.6770322
2014-04-30,88410.57398496
2014-05-01,93342.84925307
2014-05-02,103501.56921883
2014-05-03,63304.5568147
2014-05-04,60204.44331016
2014-05-05,80913.85311907
2014-05-06,87934.59246406
2014-05-07,132193.388765
2014-05-08,98389.8395208301
2014-05-09,84492.73093777
2014-05-10,57161.64296521
2014-05-11,57738.57654414
2014-05-12,101102.94356081
2014-05-13,85427.11320973
2014-05-14,131677.77281357
2014-05-15,105785.76536481
2014-05-16,74838.68259164
2014-05-17,55678.25096352
2014-05-18,58729.13854737
2014-05-19,128001.22964014
2014-05-20,159248.8608272
2014-05-21,104909.41599271
2014-05-22,118083.35848527
2014-05-23,139186.0403562
2014-05-24,339602.02581874
2014-05-25,157753.0319567
2014-05-26,115036.28698538
2014-05-27,178243.6070297
2014-05-28,102769.15582976
2014-05-29,81077.5308734399
2014-05-30,130203.1438319
2014-05-31,84112.24842079
2014-06-01,113343.06194779
2014-06-02,121138.43824695
2014-06-03,112532.65169396
2014-06-04,117537.12205406
2014-06-05,111297.66719672
2014-06-06,105519.53753773
2014-06-07,63163.51378592
2014-06-08,59680.83929682
2014-06-09,90508.7812943
2014-06-10,166601.58810253
2014-06-11,147741.16002194
2014-06-12,852083.933086719
2014-06-13,111871.27740267
2014-06-14,89785.37890064
2014-06-15,59523.02525116
2014-06-16,106229.28060928
2014-06-17,90944.44947043
2014-06-18,92678.97969148
2014-06-19,88438.93006766
2014-06-20,79243.8133926101
2014-06-21,59901.9776054
2014-06-22,60118.73247464
2014-06-23,157149.56354909
2014-06-24,197535.4135507
2014-06-25,110079.65037256
2014-06-26,114618.73736004
2014-06-27,93027.3118482399
2014-06-28,61211.35954065
2014-06-29,61415.55893135
2014-06-30,105121.98098225
2014-07-01,164953.23751804
2014-07-02,113892.23640073
2014-07-03,106098.86138892
2014-07-04,72056.88757711
2014-07-05,51757.81391904
2014-07-06,44475.66086246
2014-07-07,98106.84521473
2014-07-08,74621.37379925
2014-07-09,95708.8890944499
2014-07-10,100164.57212886
2014-07-11,71712.65783781
2014-07-12,59110.24632829
2014-07-13,73150.1282869101
2014-07-14,72512.68996905
2014-07-15,81182.79593237
2014-07-16,112557.96867905
2014-07-17,79857.8545126
2014-07-18,91142.87583702
2014-07-19,90879.1943141001
2014-07-20,44062.90511414
2014-07-21,129905.40865971
2014-07-22,89012.6897304
2014-07-23,79589.68725845
2014-07-24,120478.54475756
2014-07-25,76528.14729764
2014-07-26,54219.97858281
2014-07-27,60819.86662951
2014-07-28,94533.5479947199
2014-07-29,81394.02366488
2014-07-30,103678.09440695
2014-07-31,93430.9315896501
2014-08-01,188295.31505111
2014-08-02,75670.5399981501
2014-08-03,55835.12578819
2014-08-04,119194.05531136
2014-08-05,167104.23180348
2014-08-06,117425.15181797
2014-08-07,97533.93094046
2014-08-08,82815.7977343201
2014-08-09,101546.45140336
2014-08-10,68728.3104051
2014-08-11,97010.07969465
2014-08-12,120688.85874127
2014-08-13,137558.54205171
2014-08-14,159324.32849538
2014-08-15,151042.6072671
2014-08-16,96737.6325540099
2014-08-17,106309.25363632
2014-08-18,202217.23343131
2014-08-19,124970.4836532
2014-08-20,116492.62490311
2014-08-21,162912.19967594
2014-08-22,105908.95186405
2014-08-23,90907.62470277
2014-08-24,58670.45101744
2014-08-25,171653.58535171
2014-08-26,102017.82710725
2014-08-27,131845.09835685
2014-08-28,148586.82419864
2014-08-29,279467.40616986
2014-08-30,62606.4294625
2014-08-31,75289.0602287999
