date,price
2014-04-15,59321.5806202576
2014-04-16,45327.7718585558
2014-04-17,60364.1060676353
2014-04-18,54119.5433709834
2014-04-19,56547.9844196814
2014-04-20,58976.4254683793
2014-04-21,61404.8665170773
2014-04-22,53425.7030713554
2014-04-23,60711.0262174494
2014-04-24,50997.2620226574
2014-04-25,56894.9045694954
2014-04-26,61751.7866668913
2014-04-27,57935.6650189374
2014-04-28,57588.7448691234
2014-04-29,54813.3836706114
2014-04-30,58067.9246280705
2014-05-01,66817.8858733963
2014-05-02,67613.3368956986
2014-05-03,57272.4736057682
2014-05-04,60454.2776949776
2014-05-05,49715.688893896
2014-05-06,73976.9450741173
2014-05-07,64829.2583176404
2014-05-08,62045.1797395822
2014-05-09,66022.4348510939
2014-05-10,70397.4154737568
2014-05-11,66022.4348510939
2014-05-12,69096.5967636062
2014-05-13,74817.9710179175
2014-05-14,66015.8567805155
2014-05-15,73057.5481704371
2014-05-16,80099.2395603588
2014-05-17,80539.3452722289
2014-05-18,67776.2796279959
2014-05-19,77898.7110010083
2014-05-20,78778.9224247485
2014-05-21,78338.8167128784
2014-05-22,73497.6538823072
2014-05-23,69536.7024754763
2014-05-24,87319.120099013
2014-05-25,78483.2567556605
2014-05-26,87838.876766269
2014-05-27,67048.6100760278
2014-05-28,91996.9301043173
2014-05-29,68088.1234105399
2014-05-30,84720.3367627328
2014-05-31,79003.0134229165
2014-06-01,93036.4434388293
2014-06-02,93036.4434388293
2014-06-03,97714.2534441336
2014-06-04,95115.4701078534
2014-06-05,75364.7167521243
2014-06-06,86494.3621241971
2014-06-07,89416.4689527173
2014-06-08,87663.2048556052
2014-06-09,79481.3057357487
2014-06-10,103442.581729614
2014-06-11,85325.5193927891
2014-06-12,90585.3116841254
2014-06-13,98182.7894382778
2014-06-14,102858.16036391
2014-06-15,108702.37402095
2014-06-16,118637.537237919
2014-06-17,104027.003095318
2014-06-18,113768.842858603
2014-06-19,101053.501597935
2014-06-20,123807.270169656
2014-06-21,126484.18411927
2014-06-22,129161.098068884
2014-06-23,105738.10100976
2014-06-24,132507.240505902
2014-06-25,124476.498657059
2014-06-26,114438.071346006
2014-06-27,125145.727144463
2014-06-28,125145.727144463
2014-06-29,145472.743415772
2014-06-30,104506.281189491
2014-07-01,115374.934433198
2014-07-02,116210.984682714
2014-07-03,111194.683185619
2014-07-04,133768.039922549
2014-07-05,127079.637926421
2014-07-06,124571.487177873
2014-07-07,116210.984682714
2014-07-08,135440.140421581
2014-07-09,132931.989673033
2014-07-10,128751.738425453
2014-07-11,125407.537427389
2014-07-12,137948.291170128
2014-07-13,132716.120673498
2014-07-14,124959.983751021
2014-07-15,118927.432811316
2014-07-16,142195.843578748
2014-07-17,147366.601527066
2014-07-18,137025.08563043
2014-07-19,148228.394518452
2014-07-20,146504.80853568
2014-07-21,128407.155716566
2014-07-22,123236.397768248
2014-07-23,125821.776742407
2014-07-24,128407.155716566
2014-07-25,135301.499647657
2014-07-26,130395.098646876
2014-07-27,149954.363443907
2014-07-28,126669.524399822
2014-07-29,138777.640702747
2014-07-30,162993.873308595
2014-07-31,143434.608511564
2014-08-01,142503.2149498
2014-08-02,157405.511938015
2014-08-03,141571.821388037
2014-08-04,125738.130838059
2014-08-05,122943.950152769
2014-08-06,142503.2149498
2014-08-07,146228.789196854
2014-08-08,157903.329123918
2014-08-09,169672.521356757
2014-08-10,175557.117473176
2014-08-11,178499.415531385
2014-08-12,177518.649511982
2014-08-13,153980.265046305
2014-08-14,166730.223298547
2014-08-15,159864.861162724
2014-08-16,167710.98931795
2014-08-17,161826.393201531
2014-08-18,171634.053395563
2014-08-19,202037.799997063
2014-08-20,187281.346343637
2014-08-21,199134.596112222
2014-08-22,190837.321274213
2014-08-23,186096.021366779
2014-08-24,194393.296204788
2014-08-25,158833.546899034
2014-08-26,196763.946158505
2014-08-27,190837.321274213
2014-08-28,214543.820811382
2014-08-29,196763.946158505
2014-08-30,203875.896019656
2014-08-31,231138.3704874
2014-09-01,204522.695658425
2014-09-02,194978.303194365
