date,price
2014-04-15,2905406.24490792
2014-04-16,2689251.05713165
2014-04-17,2706076.91605982
2014-04-18,2772367.99110293
2014-04-19,2478551.39598085
2014-04-20,2903129.8029116
2014-04-21,2803733.6424231
2014-04-22,2101337.97656688
2014-04-23,2928738.65231322
2014-04-24,2506178.88523505
2014-04-25,3121784.16930471
2014-04-26,2216047.34576806
2014-04-27,2695330.38352189
2014-04-28,2002844.9734579
2014-04-29,2373811.60726478
2014-04-30,1798323.6098464
2014-05-01,2899140.09711454
2014-05-02,2738555.52006396
2014-05-03,1824628.31054812
2014-05-04,1996152.0366392
2014-05-05,1546079.10989945
2014-05-06,2583817.44080909
2014-05-07,2136347.09544072
2014-05-08,2288273.54317903
2014-05-09,2305086.13988772
2014-05-10,2463259.52088618
2014-05-11,2107297.0875308
2014-05-12,2174293.30588062
2014-05-13,2196362.32514587
2014-05-14,1872053.61437355
2014-05-15,2329797.59349022
2014-05-16,2271665.23319837
2014-05-17,2846330.18727616
2014-05-18,2674403.24760663
2014-05-19,2800193.45760369
2014-05-20,2437309.33215951
2014-05-21,2679568.52756389
2014-05-22,2550796.14223453
2014-05-23,2450791.24452302
2014-05-24,2351556.70291129
2014-05-25,2685405.17828629
2014-05-26,2658143.76983134
2014-05-27,2171401.39268694
2014-05-28,2886725.31537357
2014-05-29,2171411.11799255
2014-05-30,2667113.68140693
2014-05-31,2507046.66898787
2014-06-01,3186784.51736148
2014-06-02,3650788.78347102
2014-06-03,3203424.7509436
2014-06-04,3593888.80985165
2014-06-05,2708518.43397621
2014-06-06,2703361.52059781
2014-06-07,2878038.64715532
2014-06-08,2503351.83023013
2014-06-09,3129398.32990219
2014-06-10,3398807.4547023
2014-06-11,2732109.18704523
2014-06-12,3477994.08182039
2014-06-13,2666109.45247941
2014-06-14,3378320.32975696
2014-06-15,3554349.15871317
2014-06-16,3357698.58037231
2014-06-17,3465497.66274646
2014-06-18,2653182.8809552
2014-06-19,3124036.51946112
2014-06-20,3429551.41602032
2014-06-21,3180962.87500238
2014-06-22,3522657.11801796
2014-06-23,3540092.79362386
2014-06-24,3183637.21807602
2014-06-25,2925711.45846495
2014-06-26,2992633.06533511
2014-06-27,3485349.38860833
2014-06-28,3390821.48285489
2014-06-29,2867568.6921274
2014-06-30,2302759.22460592
2014-07-01,2485724.37831526
2014-07-02,2261661.30916854
2014-07-03,2560998.376542
2014-07-04,3298718.39247022
2014-07-05,2603938.92237504
2014-07-06,2561839.04560687
2014-07-07,2796222.36803611
2014-07-08,2661544.47118273
2014-07-09,3132903.82917889
2014-07-10,3133288.01651803
2014-07-11,2721173.49560002
2014-07-12,3223823.83970348
2014-07-13,2964897.50723038
2014-07-14,2324693.38813598
2014-07-15,3161553.82092972
2014-07-16,2629605.79883141
2014-07-17,3002451.26742862
2014-07-18,3638812.44346872
2014-07-19,3245599.55344
2014-07-20,2983207.3725258
2014-07-21,2938912.73316861
2014-07-22,2652571.36378448
2014-07-23,2487264.2702008
2014-07-24,2473403.68632031
2014-07-25,2769685.95930169
2014-07-26,2326825.30108101
2014-07-27,2881152.52485139
2014-07-28,2678343.23884442
