date,price
2014-04-15,36853958.0
2014-04-16,36926901.0
2014-04-17,36995367.0
2014-04-18,37060438.0
2014-04-19,37117369.0
2014-04-20,37171002.0
2014-04-21,37220092.0
2014-04-22,37279343.0
2014-04-23,37356674.0
2014-04-24,37431721.0
2014-04-25,37503461.0
2014-04-26,37575834.0
2014-04-27,37627735.0
2014-04-28,37680606.0
2014-04-29,37745346.0
2014-04-30,37809733.0
2014-05-01,37873872.0
2014-05-02,37933416.0
2014-05-03,37993792.0
2014-05-04,38047965.0
2014-05-05,38100609.0
2014-05-06,38167287.0
2014-05-07,38244287.0
2014-05-08,38314405.0
2014-05-09,38382829.0
2014-05-10,38449155.0
2014-05-11,38505748.0
2014-05-12,38558920.0
2014-05-13,38633209.0
2014-05-14,38702439.0
2014-05-15,38772059.0
2014-05-16,38846374.0
2014-05-17,38912155.0
2014-05-18,38965893.0
2014-05-19,39015820.0
2014-05-20,39079693.0
2014-05-21,39151200.0
2014-05-22,39220681.0
2014-05-23,39293440.0
2014-05-24,39366798.0
2014-05-25,39419441.0
2014-05-26,39476803.0
2014-05-27,39543531.0
2014-05-28,39612651.0
2014-05-29,39684809.0
2014-05-30,39749554.0
2014-05-31,39815047.0
2014-06-01,39867118.0
2014-06-02,39922562.0
2014-06-03,39987099.0
2014-06-04,40056179.0
2014-06-05,40122179.0
2014-06-06,40189213.0
2014-06-07,40250781.0
2014-06-08,40302605.0
2014-06-09,40350520.0
2014-06-10,40410007.0
2014-06-11,40473834.0
2014-06-12,40536814.0
2014-06-13,40601012.0
2014-06-14,40665742.0
2014-06-15,40719484.0
2014-06-16,40774045.0
2014-06-17,40842229.0
2014-06-18,40911844.0
2014-06-19,40975842.0
2014-06-20,41037924.0
2014-06-21,41095838.0
2014-06-22,41146855.0
2014-06-23,41197232.0
2014-06-24,41257513.0
2014-06-25,41321585.0
2014-06-26,41385984.0
2014-06-27,41447698.0
2014-06-28,41510593.0
2014-06-29,41565324.0
2014-06-30,41615789.0
2014-07-01,41685191.0
2014-07-02,41755083.0
2014-07-03,41821224.0
2014-07-04,41883535.0
2014-07-05,41943394.0
2014-07-06,41992780.0
2014-07-07,42045356.0
2014-07-08,42110403.0
2014-07-09,42180575.0
2014-07-10,42249119.0
2014-07-11,42312577.0
2014-07-12,42371619.0
2014-07-13,42425727.0
2014-07-14,42477556.0
2014-07-15,42541213.0
2014-07-16,42612780.0
2014-07-17,42678822.0
2014-07-18,42744924.0
2014-07-19,42808543.0
2014-07-20,42868496.0
2014-07-21,42920507.0
2014-07-22,42984847.0
2014-07-23,43051952.0
2014-07-24,43118314.0
2014-07-25,43184303.0
2014-07-26,43245910.0
2014-07-27,43303434.0
2014-07-28,43354568.0
2014-07-29,43419821.0
2014-07-30,43482112.0
2014-07-31,43547922.0
2014-08-01,43616939.0
2014-08-02,43684681.0
2014-08-03,43739951.0
2014-08-04,43793954.0
2014-08-05,43861821.0
2014-08-06,43934462.0
2014-08-07,44013960.0
2014-08-08,44084460.0
2014-08-09,44152271.0
2014-08-10,44213658.0
2014-08-11,44271559.0
2014-08-12,44346557.0
2014-08-13,44424023.0
2014-08-14,44499113.0
