date,price
2014-04-15,669588.742590232
2014-04-16,808972.686487201
2014-04-17,814063.297992066
2014-04-18,781666.572317554
2014-04-19,460095.566680422
2014-04-20,419106.173383271
2014-04-21,726993.259447819
2014-04-22,886317.347175514
2014-04-23,680231.147109905
2014-04-24,442259.666068283
2014-04-25,557906.38545585
2014-04-26,338826.031629409
2014-04-27,304654.699317986
2014-04-28,582844.636266595
2014-04-29,562617.982962101
2014-04-30,489352.734514279
2014-05-01,449043.555727504
2014-05-02,658715.601906697
2014-05-03,557392.959877705
2014-05-04,428868.453035868
2014-05-05,633594.681573815
2014-05-06,687403.188091505
2014-05-07,840071.956870138
2014-05-08,1349234.53233423
2014-05-09,1255094.39227717
2014-05-10,680089.585980874
2014-05-11,450023.281929037
2014-05-12,553883.032683005
2014-05-13,678338.794865715
2014-05-14,729099.518388212
2014-05-15,826657.616410767
2014-05-16,651741.425215487
2014-05-17,486627.924862174
2014-05-18,273970.039068218
2014-05-19,529418.786190444
2014-05-20,1500132.13561312
2014-05-21,724297.923576834
2014-05-22,773918.640208564
2014-05-23,1247509.85330439
2014-05-24,915433.549230091
2014-05-25,841110.023738244
2014-05-26,760758.626328056
2014-05-27,951817.249445368
2014-05-28,869282.339182977
2014-05-29,659714.045118423
2014-05-30,929717.756126586
2014-05-31,588130.159851893
2014-06-01,742697.834930674
2014-06-02,952286.473004429
2014-06-03,906950.889311302
2014-06-04,1034442.67009573
2014-06-05,950750.391346203
2014-06-06,1049433.72248384
2014-06-07,606545.184858579
2014-06-08,772391.162308146
2014-06-09,389374.168040356
2014-06-10,595395.837500687
2014-06-11,533894.910344221
2014-06-12,1111447.58093751
2014-06-13,746631.527250296
2014-06-14,460635.313267111
2014-06-15,447016.409284431
2014-06-16,741260.561498812
2014-06-17,483436.551380298
2014-06-18,549689.613936265
2014-06-19,723576.463928825
2014-06-20,563146.486382393
2014-06-21,461927.046746102
2014-06-22,528044.174882565
2014-06-23,623384.095218053
2014-06-24,882381.495034408
2014-06-25,503311.050089334
2014-06-26,513326.250977958
2014-06-27,487614.045979167
2014-06-28,339025.571161611
2014-06-29,369039.971879722
2014-06-30,670095.338531695
2014-07-01,891551.80631357
2014-07-02,944001.279715561
2014-07-03,604883.464547067
2014-07-04,389934.986502046
2014-07-05,421945.419460248
2014-07-06,373704.721600211
2014-07-07,470317.610428958
2014-07-08,368883.947238495
2014-07-09,467382.069264812
2014-07-10,517645.023803858
2014-07-11,423733.297699035
2014-07-12,469369.133509933
2014-07-13,482605.806623357
2014-07-14,508730.206581382
2014-07-15,564831.830035056
2014-07-16,602509.236479178
2014-07-17,468015.248901458
2014-07-18,514425.221870095
2014-07-19,308098.516569824
2014-07-20,283901.869161202
2014-07-21,448465.586733738
2014-07-22,385105.176930138
2014-07-23,414650.400025129
2014-07-24,536981.677497219
2014-07-25,495814.699609431
2014-07-26,309235.9587127
2014-07-27,261543.514790951
2014-07-28,489947.479870647
2014-07-29,495080.201474437
2014-07-30,420687.449590003
2014-07-31,427508.922499686
2014-08-01,465864.560698839
2014-08-02,389351.123847858
2014-08-03,421225.077326142
2014-08-04,428826.625525433
2014-08-05,618996.162766312
2014-08-06,465456.203669083
2014-08-07,433895.636261622
2014-08-08,337944.152797004
2014-08-09,363379.399772452
2014-08-10,363132.073388893
2014-08-11,559067.889812784
2014-08-12,737827.373381264
2014-08-13,708436.230073539
2014-08-14,747261.470331775
2014-08-15,771484.022498295
2014-08-16,673986.805388695
2014-08-17,502236.356619499
2014-08-18,1016626.95052493
2014-08-19,631401.090703743
2014-08-20,564014.546176288
2014-08-21,769920.778253555
2014-08-22,3174695.27841673
2014-08-23,704590.959989202
2014-08-24,415572.732888275
2014-08-25,951963.744003854
2014-08-26,1788493.64968411
2014-08-27,1439343.09698349
2014-08-28,733294.416306562
2014-08-29,593794.324110572
2014-08-30,597963.557732207
2014-08-31,515766.197780938
2014-09-01,708067.73216985
2014-09-02,574265.510334371
2014-09-03,502331.387387079
2014-09-04,451973.791108862
2014-09-05,494053.525912027
2014-09-06,316335.574875587
2014-09-07,372332.046359099
2014-09-08,502091.933049563
2014-09-09,523185.469017824
2014-09-10,472432.4856098
2014-09-11,449455.975135135
2014-09-12,461999.164775734
2014-09-13,329720.302792825
2014-09-14,370679.116570819
2014-09-15,463879.011689158
2014-09-16,434785.757899436
2014-09-17,477371.029601516
2014-09-18,704089.590295615
2014-09-19,709207.174723741
2014-09-20,754422.164700332
2014-09-21,801876.142569527
2014-09-22,539538.212900137
2014-09-23,788111.137089615
2014-09-24,912778.144801468
2014-09-25,679083.422491803
2014-09-26,564149.004423853
2014-09-27,518481.517661272
2014-09-28,465163.671420482
2014-09-29,704387.949679981
2014-09-30,666870.44143406
2014-10-01,700946.524121399
2014-10-02,599176.461652687
2014-10-03,727849.463046411
2014-10-04,653572.499621088
2014-10-05,928155.201033576
2014-10-06,1129892.51005176
2014-10-07,863049.423662904
2014-10-08,904441.452021362
2014-10-09,974536.004140374
2014-10-10,985124.640111173
2014-10-11,585164.336417647
2014-10-12,473902.130315209
2014-10-13,777900.516941769
2014-10-14,892500.910761564
2014-10-15,1203856.93518188
2014-10-16,1055720.1589948
2014-10-17,915354.261778837
2014-10-18,601562.342663964
2014-10-19,454054.118035242
2014-10-20,830307.67791192
2014-10-21,581714.052885223
2014-10-22,866640.039092052
2014-10-23,1087485.24245125
2014-10-24,711103.0904695
2014-10-25,914765.189541027
2014-10-26,873574.273165888
2014-10-27,1075298.66765513
2014-10-28,843974.100864434
2014-10-29,799636.487991504
2014-10-30,714469.883718094
2014-10-31,1292623.20016124
2014-11-01,695834.032181795
2014-11-02,551998.146392561
2014-11-03,1077667.49614244
2014-11-04,1137149.36067691
2014-11-05,958586.36540755
2014-11-06,739435.476988818
2014-11-07,875883.643813471
2014-11-08,566350.13012268
2014-11-09,536383.146425672
2014-11-10,937478.967462222
2014-11-11,698875.899200788
2014-11-12,1115072.51062442
2014-11-13,1656517.99417878
2014-11-14,954336.70359458
2014-11-15,811752.516856439
2014-11-16,727901.137541241
2014-11-17,838436.986648565
2014-11-18,983866.145961329
2014-11-19,940122.156634531
2014-11-20,1039330.40716549
2014-11-21,1319260.31279388
2014-11-22,790597.149726827
2014-11-23,600423.482736064
2014-11-24,798399.788617352
2014-11-25,970483.031138427
2014-11-26,1052627.49186417
2014-11-27,997888.118389946
2014-11-28,1348602.66606976
2014-11-29,978881.249657303
2014-11-30,980576.3634217
2014-12-01,1310227.61941299
2014-12-02,1369541.03599899
2014-12-03,1221569.88021918
2014-12-04,1067513.52941258
2014-12-05,1159419.05330237
2014-12-06,617000.752642815
2014-12-07,819728.735537465
2014-12-08,1654310.76733505
2014-12-09,1153236.96245818
2014-12-10,1324896.82686613
2014-12-11,816064.539545849
2014-12-12,973005.794753066
2014-12-13,703931.535143347
2014-12-14,620021.67712504
2014-12-15,877938.537208443
2014-12-16,991140.07151494
2014-12-17,1131649.11339559
2014-12-18,1149420.70418951
2014-12-19,888146.571574956
2014-12-20,716846.437948441
2014-12-21,953544.879036556
2014-12-22,1012482.57618789
2014-12-23,1214044.75227506
2014-12-24,830572.250515162
2014-12-25,871329.653202624
2014-12-26,711559.383532067
2014-12-27,660397.518112213
2014-12-28,695793.212762631
2014-12-29,800353.947373878
2014-12-30,1096888.92261216
2014-12-31,952547.668872448
2015-01-01,468753.539472091
2015-01-02,732227.16280091
2015-01-03,840791.742941315
2015-01-04,1134011.44060637
2015-01-05,1138485.29082891
2015-01-06,1167816.87733335
2015-01-07,1244955.47004683
2015-01-08,1444881.24169443
2015-01-09,1260617.84104151
2015-01-10,968388.560482603
2015-01-11,1238899.63290221
2015-01-12,1033013.59831099
2015-01-13,1777456.86680005
2015-01-14,2405987.36630265
2015-01-15,2577910.7528476
2015-01-16,1954797.04755648
2015-01-17,1129745.74009947
2015-01-18,975319.022589678
2015-01-19,1010771.6936924
2015-01-20,1415745.68120539
2015-01-21,1429334.28011069
2015-01-22,1210357.46145528
2015-01-23,1031664.17610122
2015-01-24,1198004.70007393
2015-01-25,939292.282314726
2015-01-26,2117894.10454613
2015-01-27,1168996.65802302
2015-01-28,931086.784515967
2015-01-29,984245.547562344
2015-01-30,892273.353626097
2015-01-31,784700.311244836
2015-02-01,756613.012807415
2015-02-02,994219.90329921
2015-02-03,1303829.04235945
2015-02-04,1216663.51026025
2015-02-05,1249085.90271387
2015-02-06,942154.711205586
2015-02-07,630706.708957625
2015-02-08,642136.120030147
2015-02-09,871703.079779724
2015-02-10,837890.405334548
2015-02-11,875765.981250281
2015-02-12,740915.439359549
2015-02-13,1038641.09712464
2015-02-14,705935.300105549
2015-02-15,736443.280191112
2015-02-16,735152.029652314
2015-02-17,802288.636122959
2015-02-18,860241.969560655
2015-02-19,711660.226881429
2015-02-20,793592.58128176
2015-02-21,616374.969361709
2015-02-22,474504.965323625
2015-02-23,832204.427141809
2015-02-24,733761.653000817
2015-02-25,830420.632340109
2015-02-26,1154679.24584888
2015-02-27,1508199.83557658
2015-02-28,628807.626626843
2015-03-01,1271223.76133816
2015-03-02,1918811.46900269
2015-03-03,1119273.26762527
2015-03-04,900939.994780951
2015-03-05,1092698.31564967
2015-03-06,827288.90054345
2015-03-07,1141946.23395383
