date,price
2014-04-15,15471146.8628
2014-04-16,17021803.81
2014-04-17,16183543.8096
2014-04-18,10007497.842
2014-04-19,5372537.418
2014-04-20,5182862.652
2014-04-21,2914052.7234
2014-04-22,4176593.8492
2014-04-23,4121418.5208
2014-04-24,2843648.0811
2014-04-25,3993448.305
2014-04-26,14983214.1791
2014-04-27,4099197.6256
2014-04-28,3607646.856
2014-04-29,8566934.7492
2014-04-30,6205893.12
2014-05-01,4861252.6681
2014-05-02,4406324.6457
2014-05-03,3762723.546
2014-05-04,3269631.2
2014-05-05,1977398.7275
2014-05-06,3815808.17
2014-05-07,3441714.012
2014-05-08,5829236.0016
2014-05-09,2766110.9295
2014-05-10,4082047.58
2014-05-11,1873914.79
2014-05-12,3889416.478
2014-05-13,2031951.625
2014-05-14,2620878.9376
2014-05-15,2844759.5375
2014-05-16,2454588.8059
2014-05-17,1604427.3056
2014-05-18,1072813.359
2014-05-19,1116943.4593
2014-05-20,2114654.4
2014-05-21,13758716.5392
2014-05-22,3521976.4618
2014-05-23,9098536.8448
2014-05-24,10289145.555
2014-05-25,2968812.7461
2014-05-26,11276874.3506
2014-05-27,6778384.8768
2014-05-28,11364807.702
2014-05-29,5200879.6
2014-05-30,4631951.9337
2014-05-31,13980467.748
2014-06-01,6075496.28
2014-06-02,15165768.8405
2014-06-03,13311959.4
2014-06-04,9101432.6946
2014-06-05,11160396.7444
2014-06-06,7112332.182
2014-06-07,4146207.89
2014-06-08,3813891.624
2014-06-09,1707138.9245
2014-06-10,4410980.2017
2014-06-11,3834902.092
2014-06-12,6450427.8646
2014-06-13,14241713.301
2014-06-14,11105617.728
2014-06-15,9358300.2648
2014-06-16,5313533.5401
2014-06-17,6366995.48
2014-06-18,3965892.8
2014-06-19,4148688.0
2014-06-20,2479579.3965
2014-06-21,4253524.5732
2014-06-22,1722683.8576
2014-06-23,2339421.1836
2014-06-24,3115477.885
2014-06-25,3698806.0914
2014-06-26,5032837.8228
2014-06-27,2689215.0796
2014-06-28,5457662.71
2014-06-29,1822858.1
2014-06-30,1005979.2334
2014-07-01,9862075.8115
2014-07-02,6103232.9825
2014-07-03,3432108.8331
2014-07-04,3230499.4835
2014-07-05,5471361.0336
2014-07-06,1153436.45
2014-07-07,2115588.8924
2014-07-08,4438254.41
2014-07-09,1672213.4799
2014-07-10,1432301.094
2014-07-11,3908285.352
2014-07-12,3827432.64
2014-07-13,2446570.1496
2014-07-14,2618163.1814
2014-07-15,2372823.4128
2014-07-16,2216958.7494
2014-07-17,3281589.7169
2014-07-18,3076388.994
2014-07-19,3183538.314
2014-07-20,1222351.2
2014-07-21,918987.63
2014-07-22,2449290.1713
2014-07-23,2084694.2
2014-07-24,2498800.4379
2014-07-25,6197070.4908
2014-07-26,2929599.622
2014-07-27,2146515.226
2014-07-28,2248402.7064
2014-07-29,6212563.7496
2014-07-30,2393816.75
2014-07-31,5918341.027
2014-08-01,5449448.4468
2014-08-02,7133219.1656
2014-08-03,2080592.3592
2014-08-04,1627714.8229
2014-08-05,3102683.815
2014-08-06,4006014.7736
2014-08-07,4431556.7586
2014-08-08,2590252.1026
2014-08-09,2570750.455
2014-08-10,961985.464
2014-08-11,1891342.721
2014-08-12,3483919.2544
2014-08-13,3685238.7858
2014-08-14,14029610.3138
2014-08-15,12994532.8974
2014-08-16,8343302.704
2014-08-17,6616986.8324
2014-08-18,5155516.4947
2014-08-19,13687232.587
2014-08-20,8730383.9
2014-08-21,9975870.96
2014-08-22,7407298.6928
2014-08-23,7882218.512
2014-08-24,4230571.5765
2014-08-25,2926877.6769
2014-08-26,2881655.525
2014-08-27,3459555.264
2014-08-28,3993556.2534
2014-08-29,3601875.5136
2014-08-30,3691258.703
2014-08-31,2206138.47
2014-09-01,5403358.3772
2014-09-02,4327120.8592
2014-09-03,3480814.8534
2014-09-04,2251445.56
2014-09-05,5268356.442
2014-09-06,5118483.6171
2014-09-07,1332257.8569
2014-09-08,1359783.1203
2014-09-09,6812513.562
2014-09-10,4312800.7205
2014-09-11,5505843.6198
2014-09-12,3791991.4296
2014-09-13,2895656.62
2014-09-14,2782026.9744
2014-09-15,1842086.0465
2014-09-16,2918242.0064
2014-09-17,2766525.804
2014-09-18,5664894.411
2014-09-19,9378125.2984
2014-09-20,11767720.3875
2014-09-21,8173876.2508
2014-09-22,5718501.5605
2014-09-23,4316304.3945
2014-09-24,11891586.3347
2014-09-25,6001795.8016
2014-09-26,6151824.525
2014-09-27,4012699.65
2014-09-28,2177480.976
2014-09-29,6042883.722
2014-09-30,7495719.63
2014-10-01,5593043.0136
2014-10-02,5005596.562
2014-10-03,3897691.6206
2014-10-04,7318369.379
2014-10-05,9536882.3587
2014-10-06,19983592.9692
2014-10-07,22795539.5213
2014-10-08,7660089.3368
2014-10-09,10220503.02
2014-10-10,17386292.1297
2014-10-11,7432879.86
2014-10-12,3608703.0315
2014-10-13,5406042.432
2014-10-14,10240093.3596
2014-10-15,9993680.55
2014-10-16,7556518.9912
2014-10-17,8743976.3295
2014-10-18,4028042.7736
2014-10-19,2762915.48
2014-10-20,1266088.912
2014-10-21,4610337.0038
2014-10-22,3068666.7402
2014-10-23,3193703.3594
2014-10-24,7504086.176
2014-10-25,5618226.6008
2014-10-26,3821514.47
2014-10-27,2852579.345
2014-10-28,3328191.757
2014-10-29,2492771.477
2014-10-30,4457769.7144
2014-10-31,4881499.194
2014-11-01,2537964.8976
2014-11-02,4848838.1553
2014-11-03,2717870.8248
2014-11-04,3678657.5121
2014-11-05,4527694.3679
2014-11-06,5183009.8266
2014-11-07,5014394.8608
2014-11-08,2483642.3952
2014-11-09,1291511.9052
2014-11-10,3869014.0914
2014-11-11,7047967.366
2014-11-12,2780715.3045
2014-11-13,18441416.3732
2014-11-14,21017467.1722
2014-11-15,8710699.4741
2014-11-16,5449925.7758
2014-11-17,3776195.0486
2014-11-18,9453830.2361
2014-11-19,5649976.9144
2014-11-20,3455563.839
2014-11-21,5841267.1374
2014-11-22,5336373.975
2014-11-23,2353456.4304
2014-11-24,2920028.4256
2014-11-25,7147941.579
2014-11-26,6083210.6192
2014-11-27,4775090.1146
2014-11-28,2300477.1597
2014-11-29,5202188.2872
2014-11-30,2726903.5888
2014-12-01,1158266.4075
2014-12-02,2606330.423
2014-12-03,2491715.5902
2014-12-04,3180303.8074
2014-12-05,4498314.2604
2014-12-06,3282769.52
2014-12-07,890983.782
2014-12-08,936900.3569
2014-12-09,3770700.1911
2014-12-10,7383787.068
2014-12-11,2296778.6621
2014-12-12,5776249.1516
