date,price
2014-04-15,9674.244907924
2014-04-16,8876.05713165
2014-04-17,8840.6660598198
2014-04-18,7357.99110293
2014-04-19,7737.64598085371
2014-04-20,6279.802911602
2014-04-21,7648.142423103
2014-04-22,8141.9765668832
2014-04-23,9831.65231322361
2014-04-24,9329.6352350533
2014-04-25,8454.16930470751
2014-04-26,4601.59576806
2014-04-27,7209.38352188921
2014-04-28,6304.973457896
2014-04-29,6757.6072647852
2014-04-30,6323.6098464
2014-05-01,6148.0971145412
2014-05-02,7308.2700639564
2014-05-03,5028.310548115
2014-05-04,5152.0366392
2014-05-05,6535.35989945
2014-05-06,7467.44080909
2014-05-07,6997.3454407197
2014-05-08,6719.5431790344
2014-05-09,7633.6398877224
2014-05-10,4984.52088618
2014-05-11,5097.0875308
2014-05-12,7133.8058806154
2014-05-13,6234.82514587
2014-05-14,5793.6143735536
2014-05-15,6501.343490218
2014-05-16,5525.4831983729
2014-05-17,5646.1872761616
2014-05-18,4876.24760662881
2014-05-19,7130.95760368671
2014-05-20,6800.8321595052
2014-05-21,7111.5275638948
2014-05-22,6850.6422345285
2014-05-23,7311.244523024
2014-05-24,6606.702911286
2014-05-25,6261.9282862905
2014-05-26,7969.2698313362
2014-05-27,7345.3926869424
2014-05-28,8907.81537357
2014-05-29,7186.11799255
2014-05-30,6991.93140693451
2014-05-31,6314.168987868
2014-06-01,7297.01736148
2014-06-02,8438.5334710178
2014-06-03,9274.7509436
2014-06-04,8639.8098516468
2014-06-05,8506.4339762052
2014-06-06,7830.520597808
2014-06-07,6213.64715532
2014-06-08,6295.8302301264
2014-06-09,8125.8299021893
2014-06-10,8775.20470229819
2014-06-11,8199.18704522751
2014-06-12,9410.58182038961
2014-06-13,7428.202479406
2014-06-14,6485.3297569595
2014-06-15,6213.1587131712
2014-06-16,7870.0803723141
2014-06-17,8097.66274646
2014-06-18,8382.8809552
2014-06-19,8036.51946112
2014-06-20,7438.91602032
2014-06-21,5844.8750023756
2014-06-22,6445.1180179624
2014-06-23,7408.793623864
2014-06-24,7087.2180760225
2014-06-25,7687.9584649476
2014-06-26,6586.0653351096
2014-06-27,6875.88860833501
2014-06-28,6471.48285489
2014-06-29,6068.69212740001
2014-06-30,7797.4746059239
2014-07-01,9638.1283152605
2014-07-02,8305.0591685425
2014-07-03,7825.1265420024
2014-07-04,7433.39247022
2014-07-05,5374.92237504
2014-07-06,6289.04560687
2014-07-07,7766.3680361126
2014-07-08,8056.9711827275
2014-07-09,8053.8291788925
2014-07-10,7989.2665180335
2014-07-11,7253.495600016
2014-07-12,6273.83970348
2014-07-13,6660.5072303826
2014-07-14,7863.1381359808
2014-07-15,8913.0709297167
2014-07-16,8511.7988314054
2014-07-17,8012.7674286192
2014-07-18,9172.44346872
2014-07-19,7368.3034400005
2014-07-20,6457.3725258
2014-07-21,7687.73316861
2014-07-22,8093.8637844771
2014-07-23,7264.2702008
2014-07-24,7194.4363203132
2014-07-25,6568.9593016908
2014-07-26,5660.301081011
2014-07-27,5935.024851391
2014-07-28,6783.23884442401
2014-07-29,6774.804857223
2014-07-30,8554.783118545
2014-07-31,7281.6499029555
2014-08-01,7164.9064399104
2014-08-02,5889.90950453839
2014-08-03,5349.9404972178
2014-08-04,6760.5110953929
2014-08-05,7254.562349375
2014-08-06,8768.4603462756
2014-08-07,6816.4725262273
2014-08-08,7547.663844968
2014-08-09,6221.5138246002
2014-08-10,6782.659565352
2014-08-11,8155.1122911966
2014-08-12,7960.58764429981
2014-08-13,7541.5964723892
2014-08-14,7442.2615089674
2014-08-15,6611.4505522974
2014-08-16,7171.2189311972
2014-08-17,35277.073036072
2014-08-18,6974.9835429184
2014-08-19,6853.541437638
2014-08-20,6358.0008996
2014-08-21,6400.4297732358
2014-08-22,5806.4826143568
2014-08-23,5387.9084459879
2014-08-24,4912.0970274477
2014-08-25,8826.4047251132
