date,cost-per-transaction-percent_x,cost-per-transaction-percent_y,hash-rate,n-transactions-excluding-popular,difficulty,mempool-size,blocks-size,avg-confirmation-time,output-volume,avg-block-size,market-price,market-cap,n-unique-addresses,mempool-count,mempool-growth,n-transactions-total,miners-revenue,n-transactions-per-block,estimated-transaction-volume,median-confirmation-time,n-transactions,estimated-transaction-volume-usd,cost-per-transaction
2014-04-15,4.31210255378519,4.31210255378519,59321.5806202576,72809.0,6119726089.12815,,17700.145907,,669588.742590232,0.241621071428572,459.64,5813113044.0,156359.0,,,36853958.0,2905406.24490792,400.049450549451,146588.5228901,6.43333333333333,72809.0,67377948.6612055,31.461496133191
2014-04-16,2.17637614891476,2.17637614891476,45327.7718585558,68594.0,6119726089.12815,,17744.199359,,808972.686487201,0.271066333333333,523.0,6616812950.0,149841.0,,,36926901.0,2689251.05713165,431.408805031447,236262.99300854,8.93333333333333,68594.0,123565545.343466,33.6379233383573
2014-04-17,3.96022260032156,3.96022260032156,60364.1060676353,65190.0,6978842649.59238,,17787.130813,,814063.297992066,0.223713349112426,526.29,6660528881.25,131868.0,,,36995367.0,2706076.91605982,385.739644970414,129836.08770382,7.0,65190.0,68331434.5976434,36.2438813878336
2014-04-18,6.28093821738141,6.28093821738141,54119.5433709834,56996.0,6978842649.59238,,17824.879464,,781666.572317554,0.20556026875,498.2,6307137270.0,128648.0,,,37060438.0,2772367.99110293,356.225,88597.73744869,9.38333333333333,56996.0,44139392.7969373,40.4164733741954
2014-04-19,7.89068043253219,7.89068043253219,56547.9844196814,53515.0,6978842649.59238,,17857.786874,,460095.566680422,0.193319125786164,482.11,6105368723.5,118692.0,,,37117369.0,2478551.39598085,336.572327044025,65153.43750932,8.13333333333333,53515.0,31411123.7576183,39.9141890265368
2014-04-20,7.61555621131927,7.61555621131927,58976.4254683793,49043.0,6978842649.59238,,17888.560246,,419106.173383271,0.169593011235955,503.8,6382050235.0,147204.0,,,37171002.0,2903129.8029116,275.522471910112,75667.02566288,7.9,49043.0,38121047.5289589,51.1141398825924
2014-04-21,3.47002974340332,3.47002974340332,61404.8665170773,58110.0,6978842649.59238,,17918.921272,,726993.259447819,0.190698409356725,501.54,6355652803.5,121759.0,,,37220092.0,2803733.6424231,339.824561403509,161100.90490081,7.15,58110.0,80798547.8439523,38.8624803163505
2014-04-22,3.96085263883304,3.96085263883304,53425.7030713554,78042.0,6978842649.59238,,17951.680733,,886317.347175514,0.288122519480519,498.38,6317751448.5,162297.0,,,37279343.0,2101337.97656688,506.766233766234,106450.23355078,8.55,78042.0,53052667.3970377,25.0855107210105
2014-04-23,4.13047202661976,4.13047202661976,60711.0262174494,73954.0,6978842649.59238,,17996.025812,,680231.147109905,0.242034896969697,488.52,6194629008.0,135242.0,,,37356674.0,2928738.65231322,448.206060606061,145143.83210425,7.6,73954.0,70905664.8595681,27.9339849521982
2014-04-24,4.87719947649719,4.87719947649719,50997.2620226574,72694.0,6978842649.59238,,18036.404554,,442259.666068283,0.279837377483444,491.99,6240659454.75,135134.0,,,37431721.0,2506178.88523505,481.417218543046,104444.42724185,9.28333333333333,72694.0,51385613.7587178,28.4305213240355
2014-04-25,4.13058209806482,4.13058209806482,56894.9045694954,72650.0,6978842649.59238,,18078.213714,,557906.38545585,0.226678675824176,502.15,6371429845.0,154706.0,,,37503461.0,3121784.16930471,399.175824175824,150507.50224678,8.0,72650.0,75577342.2532206,34.5349208397003
2014-04-26,6.42988821773245,6.42988821773245,61751.7866668913,52175.0,6978842649.59238,,18119.34266,,338826.031629409,0.180042809815951,463.13,5878439620.5,114923.0,,,37575834.0,2216047.34576806,320.092024539877,74417.0924900999,7.06666666666667,52175.0,34464788.04494,38.8827986905069
2014-04-27,7.27375247479858,7.27375247479858,57935.6650189374,52629.0,6978842649.59238,,18148.535084,,304654.699317986,0.181005920903955,461.48,5859376949.0,148161.0,,,37627735.0,2695330.38352189,297.338983050847,80297.23763664,8.2,52629.0,37055569.2245566,42.996640188905
2014-04-28,3.73375215273781,3.73375215273781,57588.7448691234,64546.0,6978842649.59238,,18180.712167,,582844.636266595,0.238974052631579,438.8,5573352380.0,146280.0,,,37680606.0,2002844.9734579,424.644736842105,122246.161119,7.58333333333333,64546.0,53641615.4990172,27.2629447546812
2014-04-29,3.90551992939269,3.90551992939269,54813.3836706114,65038.0,6978842649.59238,,18217.151153,,562617.982962101,0.228138152941177,442.44,5621266566.0,141443.0,,,37745346.0,2373811.60726478,382.576470588235,137376.6770322,8.16666666666667,65038.0,60780936.9861265,29.9678281985657
2014-04-30,4.54031120896564,4.54031120896564,58067.9246280705,63657.0,8000872135.96816,,18255.643159,,489352.734514279,0.268898347826087,448.0,5693822400.0,138804.0,,,37809733.0,1798323.6098464,461.282608695652,88410.57398496,7.66666666666667,63657.0,39607937.1452621,25.8212881017503
2014-05-01,6.87101490190376,6.87101490190376,66817.8858733963,59658.0,8000872135.96816,,18293.075357,,449043.555727504,0.191978852272727,452.03,5746589585.5,132989.0,,,37873872.0,2899140.09711454,338.965909090909,93342.84925307,7.65,59658.0,42193768.1478652,38.9711272329624
2014-05-02,5.73986863866715,5.73986863866715,67613.3368956986,59981.0,8000872135.96816,,18326.707454,,658715.601906697,0.211548310559006,460.97,5862282256.75,122570.0,,,37933416.0,2738555.52006396,372.552795031056,103501.56921883,6.96666666666667,59981.0,47711118.3628041,33.8863037030286
2014-05-03,6.33612154191496,6.33612154191496,57272.4736057682,54157.0,8000872135.96816,,18360.796395,,557392.959877705,0.203527063380282,454.9,5786907997.5,98010.0,,,37993792.0,1824628.31054812,381.387323943662,63304.5568147,8.21666666666667,54157.0,28797242.895007,31.3704062744673
2014-05-04,7.53550556195308,7.53550556195308,60454.2776949776,51769.0,8000872135.96816,,18389.697401,,428868.453035868,0.201563052980132,440.0,5598923000.0,136682.0,,,38047965.0,1996152.0366392,342.841059602649,60204.44331016,7.63333333333333,51769.0,26489955.0564704,32.6510081889427
2014-05-05,4.37497842574709,4.37497842574709,49715.688893896,67763.0,8000872135.96816,,18420.533538,,633594.681573815,0.299039512,436.75,5559216050.0,126823.0,,,38100609.0,1546079.10989945,542.104,80913.85311907,8.36666666666667,67763.0,35339125.3497538,20.6069696229284
2014-05-06,6.78600497769849,6.78600497769849,73976.9450741173,77228.0,8000872135.96816,,18457.413329,,687403.188091505,0.219220350515464,433.0,5512836925.0,144318.0,,,38167287.0,2583817.44080909,398.082474226804,87934.59246406,7.0,77228.0,38075678.536938,28.7996415485258
2014-05-07,3.77579287633145,3.77579287633145,64829.2583176404,69825.0,8000872135.96816,,18499.960942,,840071.956870138,0.244229037735849,428.01,5451381465.75,139545.0,,,38244287.0,2136347.09544072,439.150943396226,132193.388765,7.98333333333333,69825.0,56580092.3253076,25.3554298262524
2014-05-08,5.27518007134383,5.27518007134383,62045.1797395822,68937.0,8000872135.96816,,18539.021885,,1349234.53233423,0.231275491017964,440.88,5617053684.0,140028.0,,,38314405.0,2288273.54317903,412.796407185629,98389.8395208301,8.13333333333333,68937.0,43378112.4479435,29.2229457394135
2014-05-09,6.23419775331861,6.23419775331861,66022.4348510939,66293.0,8000872135.96816,,18577.356829,,1255094.39227717,0.217087770588235,437.61,5577219107.25,136384.0,,,38382829.0,2305086.13988772,389.958823529412,84492.73093777,7.6,66293.0,36974863.9856775,30.2132033959122
2014-05-10,9.59752221635578,9.59752221635578,70397.4154737568,56416.0,8000872135.96816,,18614.303763,,680089.585980874,0.170755251396648,449.0,5724289775.0,115894.0,,,38449155.0,2463259.52088618,315.173184357542,57161.64296521,6.63333333333333,56416.0,25665577.6913793,39.4936672634106
2014-05-11,7.98626090283827,7.98626090283827,66022.4348510939,52590.0,8000872135.96816,,18644.875945,,450023.281929037,0.217980046052632,457.0,5828326650.0,145663.0,,,38505748.0,2107297.0875308,345.986842105263,57738.57654414,7.85,52590.0,26386529.480672,34.7974221425519
2014-05-12,4.91211642453609,4.91211642453609,69096.5967636062,74418.0,8853416309.1278,,18678.100568,,553883.032683005,0.256592359756097,437.81,5585251622.5,128562.0,,,38558920.0,2174293.30588062,453.768292682927,101102.94356081,7.76666666666667,74418.0,44263879.7203582,24.6574427974667
2014-05-13,5.81090874557915,5.81090874557915,74817.9710179175,69357.0,8853416309.1278,,18720.181929,,678338.794865715,0.231819092592593,442.45,5646259307.5,126152.0,,,38633209.0,2196362.32514587,428.12962962963,85427.11320973,7.0,69357.0,37797226.239645,27.8327059565074
2014-05-14,3.23759553468135,3.23759553468135,66015.8567805155,69808.0,8853416309.1278,,18757.736308,,729099.518388212,0.263311986666667,439.12,5605542448.0,136797.0,,,38702439.0,1872053.61437355,465.386666666667,131677.77281357,7.4,69808.0,57822343.5978949,24.8240172698812
2014-05-15,4.95304944143551,4.95304944143551,73057.5481704371,74893.0,8853416309.1278,,18797.21037,,826657.616410767,0.247333789473684,444.65,5677802547.5,149729.0,,,38772059.0,2329797.59349022,437.970760233918,105785.76536481,7.5,74893.0,47037640.5694627,27.4707887453156
2014-05-16,6.7977870464255,6.7977870464255,80099.2395603588,65433.0,8853416309.1278,,18839.231896,,651741.425215487,0.210022596685083,446.53,5703717465.25,123629.0,,,38846374.0,2271665.23319837,361.508287292818,74838.68259164,6.26666666666667,65433.0,33417716.937645,32.5696110741293
2014-05-17,11.3824905735317,11.3824905735317,80539.3452722289,53511.0,8853416309.1278,,18877.440701,,486627.924862174,0.189017300578035,449.12,5738832904.0,109902.0,,,38912155.0,2846330.18727616,309.312138728324,55678.25096352,7.1,53511.0,25006216.0727361,39.0941830768492
2014-05-18,10.1497631620666,10.1497631620666,67776.2796279959,49912.0,8853416309.1278,,18910.240117,,273970.039068218,0.185464156976744,448.66,5734906718.0,151253.0,,,38965893.0,2674403.24760663,290.186046511628,58729.13854737,7.18333333333333,49912.0,26349415.300663,41.9474754941751
2014-05-19,4.89523176429319,4.89523176429319,77898.7110010083,64094.0,8853416309.1278,,18942.23741,,529418.786190444,0.240639095238095,446.89,5714192501.75,137175.0,,,39015820.0,2800193.45760369,381.511904761905,128001.22964014,6.53333333333333,64094.0,57202469.5138821,31.2298520878356
2014-05-20,3.41614986945691,3.41614986945691,78778.9224247485,71520.0,8853416309.1278,,18982.468007,,1500132.13561312,0.248944480225989,448.02,5730523015.5,162024.0,,,39079693.0,2437309.33215951,404.067796610169,159248.8608272,6.83333333333333,71520.0,71346674.6278021,29.6621515676168
2014-05-21,5.232675416067,5.232675416067,78338.8167128784,68905.0,8853416309.1278,,19026.582427,,724297.923576834,0.236798091428571,488.12,6245593024.0,131323.0,,,39151200.0,2679568.52756389,393.742857142857,104909.41599271,6.53333333333333,68905.0,51208384.1343616,33.8273834795285
2014-05-22,4.3730705200887,4.3730705200887,73497.6538823072,73343.0,8853416309.1278,,19068.0716,,773918.640208564,0.24477488372093,493.97,6322606062.75,137973.0,,,39220681.0,2550796.14223453,426.412790697674,118083.35848527,7.45,73343.0,58329636.5909688,31.7614790282095
2014-05-23,3.33283327485892,3.33283327485892,69536.7024754763,72810.0,8853416309.1278,,19110.10875,,1247509.85330439,0.251024818181818,528.32,6764543240.0,150893.0,,,39293440.0,2450791.24452302,441.272727272727,139186.0403562,6.93333333333333,72810.0,73534768.8409876,30.6230241346856
2014-05-24,1.32881373937051,1.32881373937051,87319.120099013,52872.0,10455720138.4848,,19151.591823,,915433.549230091,0.192923597402597,521.1,6674248800.0,103212.0,,,39366798.0,2351556.70291129,343.324675324675,339602.02581874,7.35,52872.0,176966615.654146,38.9375706275775
2014-05-25,3.22457303764928,3.22457303764928,78483.2567556605,57566.0,10455720138.4848,,19181.201977,,841110.023738244,0.219349217391304,527.91,6763503733.5,165704.0,,,39419441.0,2685405.17828629,357.552795031056,157753.0319567,8.46666666666667,57566.0,83279403.1002615,40.15559145101
2014-05-26,4.05435798960788,4.05435798960788,87838.876766269,67007.0,10455720138.4848,,19216.617105,,760758.626328056,0.249870411392405,569.93,7304151638.75,143041.0,,,39476803.0,2658143.76983134,424.094936708861,115036.28698538,7.38333333333333,67007.0,65562631.0415776,35.1894909824371
2014-05-27,2.08285663920692,2.08285663920692,67048.6100760278,68524.0,10455720138.4848,,19255.885109,,951817.249445368,0.296760823529412,584.88,7498073868.0,150775.0,,,39543531.0,2171401.39268694,503.852941176471,178243.6070297,8.26666666666667,68524.0,104251120.879531,30.593890703585
