,LSTM_5,LSTM_30,Conv1D_LSTM_30,LSTM_90,Conv1D_LSTM_90,LSTM_180,Conv1D_LSTM_180
2023-01-01,16558.57430101186,16563.602497292217,16564.941903049126,16556.53856207058,16584.707507885993,16563.365783461835,16571.049119872972
2023-01-02,16632.85096680955,16639.076001585927,16644.07822628366,16630.859193504788,16662.3728127277,16641.045974386856,16648.743534103967
2023-01-03,16696.56764552137,16702.211632149993,16706.309838866582,16694.361377924914,16725.786267874064,16704.523339045467,16712.220407873858
2023-01-04,16689.729797851993,16694.458198672393,16698.830676975194,16687.272142926,16717.050330767175,16695.943528955337,16703.58890370489
2023-01-05,16872.78699086141,16879.959579470567,16881.061199021526,16873.832323282026,16900.69736649189,16879.58165159542,16887.224639793858
2023-01-06,16845.62374645006,16853.87892973167,16855.48661312787,16847.717146927258,16874.01812473475,16853.18046054081,16860.67696177028
2023-01-07,16960.682578235865,16970.134010206908,16969.285260703415,16963.80476390943,16989.378394782543,16968.701240211725,16976.069194234908
2023-01-08,16958.326197927818,16970.740425633267,16973.357883282006,16963.73897907324,16992.365274578333,16971.977401757613,16979.178947396576
2023-01-09,17092.297712779604,17105.722294225823,17108.28944745427,17099.77098106686,17128.57810765179,17108.24666156713,17115.43469060678
2023-01-10,17203.364751180634,17214.873389802873,17214.867239835672,17209.447068742476,17234.07563739363,17213.846345280297,17220.98645720072
2023-01-11,17456.232142698485,17465.34357209131,17463.188940534368,17462.56709223753,17484.217395816464,17463.952212524135,17471.073311415035
2023-01-12,17950.251645392273,17955.019399370067,17951.56010522833,17959.383070163196,17973.812474466395,17953.202094042208,17960.36441504024
2023-01-13,18890.867500000633,18892.122682033572,18883.90326420497,18903.887201804668,18910.62874401384,18888.995974102058,18896.3718556182
2023-01-14,19930.291681451257,19933.431697851047,19923.515606756322,19955.47352121072,19953.031286233105,19930.270320795476,19937.815379098523
2023-01-15,20998.573902840726,20993.955350640463,20988.16403125995,21030.34114006441,21022.129269232973,20998.396362393396,21006.02309991955
2023-01-16,20913.86765342136,20888.164327112725,20889.89182163705,20947.29492138559,20926.338471241063,20903.07454642211,20910.459958891384
2023-01-17,21203.996903658845,21171.275687093846,21178.579034366645,21242.16913270112,21215.714056868106,21192.489210651256,21199.726943884976
2023-01-18,21202.550428769086,21158.57307638973,21170.785223631654,21237.74896016065,21207.532661944628,21184.581594890915,21191.59456108231
2023-01-19,20735.76416812092,20683.494746850803,20698.43432829529,20760.36052730307,20733.741806291044,20711.831242270768,20718.164687611163
2023-01-20,21127.794608129654,21083.866973517463,21097.041493288707,21154.990778594278,21132.580772152636,21110.76400873065,21116.698952668812
2023-01-21,22702.879742035875,22671.523327069008,22690.406920047244,22754.890382491285,22725.751988859847,22702.7229532029,22708.67552234442
2023-01-22,22820.61370074749,22774.94770976901,22790.134407803416,22861.329691633582,22827.008242830634,22804.107364729047,22809.877386778593
2023-01-23,22765.23872812302,22721.881305821473,22732.63128140336,22801.42679155199,22769.634598712437,22747.00520944898,22752.584687831113
2023-01-24,22979.189910458168,22937.220317873172,22944.093587090727,23012.91376717994,22984.061893650563,22962.08328933874,22966.900592585094
2023-01-25,22686.53899737075,22641.34489858523,22644.464338410646,22714.303630903363,22685.375953629613,22664.562597770244,22668.515867099166
2023-01-26,23167.09287807159,23122.34040920064,23121.450265260413,23192.703118432313,23167.759797060862,23147.19003120996,23150.582499291748
2023-01-27,23085.756030899007,23039.7322551026,23034.295727476012,23111.041375804693,23082.39801408723,23062.44485940924,23065.371798020322
2023-01-28,23132.990410150727,23086.154001267394,23075.526120186783,23156.835050411057,23128.335381730227,23108.738592463546,23111.371489743935
2023-01-29,23074.814993006177,23040.306553912815,23025.734707267256,23099.162263105623,23080.495473592076,23061.411365060136,23063.637981664855
2023-01-30,23817.730498119257,23778.48320040386,23766.589693409158,23842.739030401222,23825.52440833859,23806.541277193464,23808.13406902738
2023-01-31,22883.57208682224,22847.63986659539,22833.156162306783,22927.492875219556,22889.074778121663,22871.404087110655,22872.362497470574
2023-02-01,23173.578608043725,23147.95015094569,23131.33758148353,23206.238271378214,23188.885066814255,23171.371874034638,23171.909765449353
2023-02-02,23764.327223163564,23732.95235153055,23715.96682070056,23792.512005090248,23774.680874240585,23756.878024328034,23757.206083198544
2023-02-03,23524.34320814861,23484.27211817354,23463.64618145465,23555.169491107576,23522.412543245126,23504.574878375977,23504.938626836054
2023-02-04,23502.582584515447,23463.480850371765,23441.99418469437,23531.553872238146,23499.994065369247,23481.9890418048,23482.34685006691
2023-02-05,23366.122515519615,23348.268882341683,23324.408874206943,23403.440196832642,23382.382421978284,23364.20336816134,23364.701233925298
2023-02-06,22974.531644047704,22971.51051643258,22950.500817822875,23027.82553925109,23005.459890701808,22987.237346508773,22987.984418826643
2023-02-07,22775.35493833758,22776.272005503997,22755.810283505358,22827.814978759736,22809.378672854975,22791.021050227806,22792.147035062313
2023-02-08,23274.657684304286,23283.332628025208,23263.285687268595,23324.960155279376,23314.396580908215,23295.280088878702,23297.03282686835
2023-02-09,22953.139749187045,22958.85230642371,22939.239831315354,23004.213675232604,22988.902709235437,22969.197258087806,22971.67753066495
2023-02-10,21845.94153797906,21838.799103708006,21823.156496386044,21876.38922027219,21866.130749491043,21846.60220014397,21849.731241814792
2023-02-11,21680.181378325913,21672.42024452798,21656.71472435491,21693.914997527376,21697.931068092585,21677.553897711914,21681.629331788048
2023-02-12,21891.054816782475,21888.48410627246,21879.650873810053,21896.876719996333,21918.10463578999,21896.95232912898,21901.61663044989
2023-02-13,21800.58731943369,21803.51973460056,21797.140627736226,21805.659956121817,21835.32176409848,21814.851999767125,21818.815565351397
